id,url,visit_time,from_visit,transition
1,1,2025-05-23 22:20:05.045207977,0,301989893
2,2,2025-05-23 22:20:05.195112228,1,1610612736
24,21,2025-05-23 22:23:29.032060623,0,268435456
25,22,2025-05-23 22:23:29.032060623,24,-2147483648
26,23,2025-05-23 22:23:29.032060623,25,-2147483648
27,24,2025-05-23 22:23:29.032060623,26,-2147483648
28,25,2025-05-23 22:23:29.032060623,27,-2147483648
29,26,2025-05-23 22:23:29.032060623,28,-2147483648
30,27,2025-05-23 22:23:29.032060623,29,-1610612736
31,28,2025-05-23 22:23:39.943794250,0,268435456
32,29,2025-05-23 22:23:39.943794250,31,-1610612736
33,30,2025-05-23 22:23:59.641067505,0,268435458
34,31,2025-05-23 22:23:59.641067505,33,-1610612734
35,32,2025-05-23 22:24:04.778310776,0,805306368
36,33,2025-05-23 22:34:08.757421494,0,301989889
37,34,2025-05-23 22:34:08.757421494,36,-2113929215
38,35,2025-05-23 22:34:08.757421494,37,-2113929215
39,36,2025-05-23 22:34:08.757421494,38,-1577058303
40,37,2025-05-23 22:34:51.107183456,0,805306368
41,38,2025-05-23 22:35:21.825273514,0,805306368
42,39,2025-05-23 22:36:25.577817917,0,301989893
43,40,2025-05-23 22:36:25.784194946,42,1610612736
44,41,2025-05-23 22:36:47.307455063,43,268435456
45,42,2025-05-23 22:36:47.307455063,44,-1610612736
46,40,2025-05-23 22:36:51.541221619,43,1895825408
47,43,2025-05-23 22:36:54.206539154,46,805306368
48,40,2025-05-23 22:36:58.735540390,46,1895825408
